New Name,Type,Lat,Lon,Comment,Alt,cell_id,topo
A255,AWS EC,46.810911,10.784094,MOMAA4. on debris,2556,34960,2654.089111
A260,AWS EC,46.809083,10.779727,MOMAA3,2605,37345,2690.791504
A267R,AWS EC,46.805415,10.776431,MOMAA9. Swiss line,2671,37442,2757.178711
A267L,AWS EC,46.806711,10.773102,MOMAA10. Swiss line,2672,37425,2762.057373
A267,AWS EC,46.805913,10.775135,MOMAA8. Swiss line,2671,37433,2762.12793
A275R,AWS EC,46.799891,10.771788,Grenoble,2749,36058,2808.865967
A275L,AWS EC,46.800647,10.768919,Grenoble,2741,35706,2802.588623
T275,AWS EC,46.80039,10.770579,Tower 2. Snowfox2,2744,35714,2810.582031
A309,AWS EC,46.794899,10.745121,MOMAA2,3090,38570,3109.152344
T303,AWS EC,46.790999,10.748703,Tower 1. Snowfox1,3029,30329,3052.749023
D262,AWS Met,46.808336,10.77837,TLOGGER,2623,37360,2722.82251
D269,AWS Wind,46.804296,10.773574,AWS,2692,37287,2792.991455
D273,AWS Met,46.801794,10.771454,TLOGGER,2725,35704,2798.971191
D281,AWS Wind,46.796189,10.767918,AWS,2815,36039,2876.780029
D285,AWS Met,46.793936,10.764627,TLOGGER,2854,35991,2903.72583
D293,AWS Wind,46.791656,10.75622,AWS,2926,35938,2957.430908
D305,AWS Met,46.79254,10.746646,TLOGGER,3052,35803,3066.530518
D316,AWS Wind,46.798121,10.742291,TLOGGER,3160,71618,3185.396729
Hintereis,AWS Met,46.798803,10.760528,UIBK,3031,36210,3038.568359
Lidar,Lidar,46.7988028,10.7605333,,,,
F275R,Fixed Wing,46.799891,10.771788,,,,
F275L,Fixed Wing,46.800647,10.768919,,,,
F275,Fixed Wing,46.80039,10.770579,,,,
Q267L,Quadcopter,46.806711,10.773102,,,,
Q267,Quadcopter,46.805913,10.775135,,,,
